aadhaar_id,name,dob,gender,addr_state,addr_district,phone,biom_hash,enroll_time,enroll_center_id,anomaly_type
SYN_AAD_003648,Allison Hill,1960-01-04,M,Gujarat,Lake Curtis,9600133890,5086e3ac779686fc6a6126cdd8f04da56d68a0bb,2024-06-15 09:16:44,CTR_63,none
SYN_AAD_007314,Rhonda Smith,1951-05-12,M,Maharashtra,Petersonberg,5116155940,6e809136fec287e8cae4f5fcbc7d282e71e7f122,2023-11-08 19:23:39,CTR_174,none
SYN_AAD_017870,Edward Fuller,1978-11-06,M,Punjab,Lake Chad,4131647525,ea0bbf106d7b865dcbc9b8e768509b1e6f59ad83,2021-03-29 13:58:55,CTR_109,none
SYN_AAD_004961,Carolyn Daniel,1951-11-14,M,Maharashtra,Grayside,5030564139,813e773e85d610df640250f6ab1aad0956e06a2b,2024-07-15 08:17:56,CTR_56,none
SYN_AAD_014832,Charles Mcgee,2002-12-26,O,Punjab,Juliechester,5328710122,919b4683b9a63d83b8eedeccc1a1e96cc0323abb,2024-08-12 22:09:14,CTR_7,none
SYN_AAD_011567,Tricia Valencia,1931-03-12,M,Kerala,Lake Nicoleview,1462704828,0e7a40eb9710ae57941a94d5d16138b7157f6973,2021-12-07 14:20:49,CTR_108,none
SYN_AAD_007223,Christopher Ashley,2001-10-24,F,Punjab,New Mariotown,5430391171,71c687fa7926210ce04cbb1e9138b7239b284c55,2025-04-23 22:09:09,CTR_72,none
SYN_AAD_000212,Joseph Obrien,1958-06-16,M,Uttar Pradesh,Lake Larry,7871331509,92b73a7f02008bdfb884c91d9613465a941645d5,2021-03-28 07:27:11,CTR_88,none
SYN_AAD_009105,Amy Jones,1933-11-27,M,Tamil Nadu,Chadbury,7382997376,35a6395f530ef0ed2fc2c7fc359422eab1c06478,2023-08-25 12:09:59,CTR_196,none
SYN_AAD_011029,John Daniel,1943-01-10,M,Maharashtra,South Jessicaville,3387262473,e73c32f39680c0ecc8874e564d4ab9332522bdb7,2025-03-26 06:58:58,CTR_98,none
SYN_AAD_003169,Tracy House,1961-10-20,F,West Bengal,South Todd,6026064746,4aab0528e63dc3ef8ce501d2d4d7b3f6b7029b98,2022-06-27 02:46:48,CTR_155,none
SYN_AAD_008667,Lauren Daniels,1972-04-24,M,Rajasthan,North Breannahaven,0812191361,b2ae29078ab1b00086a5fd8f8112386069f6c99b,2021-05-01 10:57:03,CTR_138,none
SYN_AAD_004090,Kevin Mills,1965-02-13,F,Maharashtra,Lake Jennifer,4624751079,0c3d355a937b26097245ef76dc88aa21ebe2e418,2024-12-08 11:19:18,CTR_142,none
SYN_AAD_009606,Timothy Ibarra,1962-11-17,O,Punjab,Justinmouth,9808412411,d6b21c16a6dec8f6223bab64438f57b5a67ea35a,2022-06-05 03:30:36,CTR_93,none
SYN_AAD_018918,Christina Walters,1965-07-23,M,Maharashtra,Kington,6400524278,d9a683533ae62f1fd3e360ae23fd7d305b552d06,2021-11-25 20:07:05,CTR_12,none
SYN_AAD_011537,Tiffany Howard,1949-10-14,F,Maharashtra,Andersonport,0533158692,d217ab58affa4b36699c82a8f735d5504acf7df3,2020-11-04 18:01:49,CTR_60,duplicate_aadhaar_diff_name
SYN_AAD_003309,Tim Patton,1985-08-31,F,Gujarat,West Erik,6073375433,b0be8b271e048412a2eeec0916e7a834e526ce21,2021-03-23 10:12:41,CTR_117,none
SYN_AAD_011954,Diana May,1984-01-11,M,West Bengal,Sheilaville,2940196556,0b3103aa750ad70d84e84fa1c5880c09d97197ca,2025-07-16 03:20:44,CTR_91,none
SYN_AAD_006865,Andrew Graham,2000-05-23,O,Gujarat,West Ryan,9514846564,109b842bc360a585d2f2660295611aaa6c613a6f,2023-11-10 16:56:45,CTR_180,none
SYN_AAD_002339,Stephanie Gilbert,1970-08-04,O,Karnataka,Kelleytown,4369957773,f68a909896cbe6ab65d41c2541f428f837f56a18,2023-01-18 10:28:23,CTR_137,none
SYN_AAD_008021,Mackenzie Rogers,1961-08-06,M,Rajasthan,Jeffreyborough,0037917693,6de816e6334ae4e69fc8eb51485ccb2c5b7de275,2020-09-05 23:16:34,CTR_98,none
SYN_AAD_008845,Shannon Mcclure,1987-06-30,O,Kerala,East Linda,0831727889,7818582f01d6ab4a22db1820b4ad1c82792a0ec4,2024-12-05 00:48:46,CTR_57,none
SYN_AAD_010626,Terry Griffin,1951-04-17,M,Tamil Nadu,Colebury,8734714345,d02c1151e5d08c8ea292ab43691baf226e152e09,2022-08-08 05:55:51,CTR_9,none
SYN_AAD_015622,Timothy Webb,1986-02-04,F,Gujarat,Riveramouth,0366909670,8d6df3a4a35cebb989f1c91e77192901d1d99eca,2024-03-13 14:18:58,CTR_17,duplicate_aadhaar_diff_name
SYN_AAD_006913,Morgan Marsh,1959-08-25,O,West Bengal,Robinsonchester,0656272980,2df578f5bc54e9dbd16437683a405ca171a65031,2021-05-07 13:24:04,CTR_55,none
SYN_AAD_016358,Brandy Murray,1936-06-22,F,Rajasthan,Nicholasborough,5564641708,bcfcdcd52b0ad06aed85ca49a8589cec664e4531,2020-12-22 19:41:21,CTR_37,none
SYN_AAD_008679,Tiffany Gonzalez,1932-05-28,M,Tamil Nadu,East David,9374529912,c5c33d5a42ee9afa0e6820e8346ab4e90f03558d,2023-04-15 23:02:35,CTR_191,none
SYN_AAD_018394,Susan Brooks,1956-08-16,O,Gujarat,New Hannahbury,4919058651,58672f3548d4bbabd0b1ea1f8d756475644eb28f,2024-10-20 17:54:48,CTR_192,none
SYN_AAD_015660,Ashley Harris,1992-03-14,F,Punjab,South Gregory,9877694531,23f61a02051e8c8f8df61b06341e306aeba71034,2025-06-25 04:53:39,CTR_103,duplicate_aadhaar_diff_name
SYN_AAD_002556,Ricardo Bryan,1973-11-12,M,Karnataka,South Jason,5494808313,8ac58697aecf06879227fab82a50f4c906fe07be,2024-09-06 21:54:00,CTR_131,duplicate_aadhaar_diff_name
SYN_AAD_016171,Katherine Mcguire,1942-04-18,M,Delhi,Jeffreybury,9578856855,41836c8cf5d4333e6c1fb26d9327354ca1c4c978,2021-08-29 14:34:46,CTR_29,none
SYN_AAD_005008,Emily Newton,1954-10-30,O,Karnataka,East Joanna,9894134352,7a1071be5abb57224d6a93e5d32e98e6a7d0355b,2021-01-08 03:43:17,CTR_175,none
SYN_AAD_013833,Kristen Terry,1946-10-26,O,Maharashtra,Garciatown,7775204711,e1555148c112ddea64129f8439264a887ab00bcf,2021-02-02 07:12:26,CTR_99,none
SYN_AAD_012504,Robert Avery,1941-03-23,O,Rajasthan,North Angela,9993867749,5f507af5206b44e54ceab5e81fd543ac2b36d737,2021-06-24 01:12:58,CTR_136,none
SYN_AAD_008238,Christine Clark,1940-09-05,O,Delhi,East Glenn,2067974034,30082479da340530c03d1066468e01090e59f97c,2022-11-19 16:26:51,CTR_175,none
SYN_AAD_003753,Lori Guerrero,1956-07-21,O,Kerala,Wilsonbury,4210249947,053bc9b91384c845cc93a0a5a4e783380e4f7fc8,2022-12-13 13:58:20,CTR_193,none
SYN_AAD_013542,Jennifer Gay,1935-01-21,O,West Bengal,Navarroview,1399049027,e5681c69882094be415cd5748dd4f89e27896466,2025-08-12 07:09:54,CTR_29,duplicate_aadhaar_diff_name
SYN_AAD_000273,James Weaver,1993-08-07,F,Karnataka,Rickymouth,2567468071,f1534b19713decabeec3ec53671300b8c1530490,2024-01-27 11:18:05,CTR_117,duplicate_aadhaar_diff_name
SYN_AAD_000106,Samantha Smith,2003-06-24,O,Gujarat,Gutierrezborough,9770348247,ade8937868668400b6e1484ecf89bad61bc2ea97,2022-09-02 05:08:13,CTR_129,none
SYN_AAD_012116,Emily Smith,1985-02-27,O,Maharashtra,East Victoriaville,1274846773,50dd009faafca601080540b3ae27fba64b8deb16,2024-12-15 19:00:45,CTR_161,none
SYN_AAD_009779,Breanna Jones,1986-02-07,O,Kerala,Sarahhaven,0449972787,e292a5cc28638fa2a2573edba47f977859628439,2023-11-04 16:38:43,CTR_156,none
SYN_AAD_006517,Frank Lopez,1962-02-18,M,West Bengal,Hallchester,5766270289,d4246241a2fddeafafe50dfeea590f7ccff6d9ef,2024-07-09 08:51:07,CTR_196,none
SYN_AAD_005293,Charles Pitts,1950-08-22,O,Kerala,South Kimberlyview,9615865780,413b9303ba0d6b9b72a8c7a4b14cc39a33b0ac3b,2023-01-29 14:21:23,CTR_1,none
SYN_AAD_019626,Nicole Hamilton MD,1943-04-24,F,Rajasthan,Jacksonport,0504556238,0e1f7866cabbae361fb677bf26c2cf1c984e42e5,2021-04-22 02:07:54,CTR_5,none
SYN_AAD_003665,Janet Vega,1997-05-13,F,Gujarat,East Steven,7407482175,402d9c9a4afc2becefffb0fbc258d478a74215fc,2024-07-09 01:58:18,CTR_62,none
SYN_AAD_001898,Christina Cruz,1995-05-25,M,Punjab,East Patrickstad,4064090974,e72b7bc921f66048d5910e8cf1afba16ffbac701,2022-04-02 11:05:37,CTR_21,none
SYN_AAD_002806,Megan Le,1948-03-31,O,Rajasthan,Lake Debbieport,0952145623,87aae2061563099caa3933bb2fda3dee861d0f1d,2022-12-14 10:56:13,CTR_18,none
SYN_AAD_017455,Dawn Summers,1995-03-18,M,Karnataka,Juliemouth,7123685160,757199c105475a3dd0296973a3681791275c6675,2022-11-12 05:59:47,CTR_169,none
SYN_AAD_005910,Samantha Bentley,1944-05-17,O,Karnataka,South Angel,9317461200,a267e232a944d0bde7f6e21cea2558bf48adfed2,2025-03-16 20:12:18,CTR_68,none
SYN_AAD_017290,Jesse Santiago,2003-02-25,O,Uttar Pradesh,Matthewsberg,1796405377,d9eeac646d9e6234f17f9fb15c9547536d31d7ae,2023-10-05 00:18:16,CTR_55,none
SYN_AAD_017671,Vanessa Howard,1983-10-26,O,Tamil Nadu,Jamesville,1390053293,9c246d9c069aca9dfd1af51b4e2fa9632243af2d,2022-08-13 15:27:56,CTR_183,none
SYN_AAD_014831,Charles Lester,1930-01-06,F,West Bengal,Micheleberg,8421020539,d2dd5bc8d3e04f56726791a2dbc1da56f9995002,2021-09-17 13:37:36,CTR_113,none
SYN_AAD_016959,Kelly Reese,1994-06-13,F,Maharashtra,Stricklandhaven,7839084700,63dad7a2a5bffbf7bf322447c01ea725847a834c,2024-10-20 22:55:12,CTR_64,none
SYN_AAD_007362,Jill Lam,1973-06-21,M,West Bengal,North David,6984789611,d6773457a50cc8065682e4afad15f0d929683a3c,2022-07-30 15:32:27,CTR_6,none
SYN_AAD_019277,Ronald Ross,1942-07-28,O,Tamil Nadu,Ronaldview,2711116152,1a28d635424a79897c80cf43c8b3161919243fba,2025-05-30 19:58:24,CTR_151,none
SYN_AAD_005380,Jessica Manning,1987-03-12,M,Maharashtra,West Carolinestad,9832731585,0b129fe23d16822fa67931c6a99fef26f689dadc,2024-04-13 22:45:54,CTR_182,duplicate_aadhaar_diff_name
SYN_AAD_001929,Vanessa Cardenas,2005-05-27,M,Maharashtra,New Sarahview,2445502296,32b658646c99d5c40bae6dad2aa3bdd873d7c402,2025-02-22 21:28:52,CTR_9,none
SYN_AAD_012337,Jake Hubbard,1979-12-30,M,Kerala,Jennifershire,0229014767,5ff44b44a4d17fc0d45eb7b3a407817cfcc809a9,2024-12-28 13:08:05,CTR_61,duplicate_aadhaar_diff_name
SYN_AAD_004935,Catherine Mendoza,1995-11-11,O,Rajasthan,Brandonfurt,0343244510,eba118476b5945341b3358a70f7d556ede5268f1,2025-03-01 10:02:35,CTR_55,duplicate_aadhaar_diff_name
SYN_AAD_017669,Kathryn Whitaker,1977-10-31,M,Punjab,South Michelleton,0715969664,0531327200b48915e4149e3b9d8b554ec492048f,2022-02-04 17:37:05,CTR_148,none
SYN_AAD_001053,Lisa Collier,1978-11-17,M,Rajasthan,South Meganbury,9681645352,1ce0ffd5fa60386285e73fa94b7ad8ae49535374,2022-04-14 04:19:58,CTR_105,none
SYN_AAD_006740,Elizabeth Simpson,1949-09-24,M,Maharashtra,North Dwayne,2921277997,49ddfdfcc5d0ee008b1cc163dc33f8f4fea2a6ba,2023-04-28 22:50:59,CTR_169,duplicate_aadhaar_diff_name
SYN_AAD_014124,Barry Ramos,1970-11-05,F,Uttar Pradesh,Brittanystad,4770054119,0336afa737338c39a9aec7366975dbaeb02e4c4e,2025-05-07 22:38:56,CTR_106,none
SYN_AAD_015303,Nancy Williams,2007-06-08,O,Delhi,West Cassidy,0715182037,9497737beb08021de4ca00657f93a33a2345c3d9,2023-09-24 08:01:24,CTR_173,none
SYN_AAD_003224,Douglas Ortiz,1975-09-07,M,Uttar Pradesh,Port Crystalmouth,5186449251,fdc772f434da2f99466736642a066642124afb68,2023-12-20 12:19:50,CTR_187,none
SYN_AAD_013660,Austin Adams,2005-09-13,M,Tamil Nadu,Schneidermouth,8168505423,f7b19c58b95ed6f0cf7c559b435d950205b422f5,2021-10-21 03:26:29,CTR_50,duplicate_aadhaar_diff_name
SYN_AAD_006232,Edward French,1998-09-23,O,Rajasthan,Lake Matthewberg,2229270653,2e0a693ad03ba17f1cfedf0346a05298b77287fc,2024-06-14 12:19:12,CTR_36,none
SYN_AAD_013824,David Sheppard,1993-06-18,M,Gujarat,West Erika,7468862392,9278020e0a1f60811100034391e77d9b3cb13003,2025-05-08 15:22:47,CTR_119,none
SYN_AAD_008185,Michelle Black,1946-08-07,M,Rajasthan,Christopherburgh,7826137506,f99b9bcb54379d9780ef9eefdfc92c9d2fa97ba0,2023-12-02 12:27:27,CTR_141,none
SYN_AAD_003208,Jade Johnson DVM,1975-04-07,M,Kerala,East Benjamin,2779010432,761935b1a8d0ed9748e5ca1d43fecfc1a5d7e61d,2023-01-31 20:14:08,CTR_4,none
SYN_AAD_008432,Catherine Nelson,1991-11-05,M,Karnataka,North Maryfort,8932460953,1bff47e4a54ac228dc932a7e49918c6fa471f26e,2021-05-12 17:39:50,CTR_105,duplicate_aadhaar_diff_name
SYN_AAD_015913,Heather Ashley,2003-09-06,F,Tamil Nadu,South Morganton,5405153195,8ec75050849ea9efad4f54d98c6b33924cfb891c,2022-02-14 17:24:58,CTR_103,none
