aadhaar_id,account_id,name,dob,addr,phone,income_proof_flag,account_open_time,initial_deposit,last_txn_date,anomaly_type
SYN_AAD_013049,ACC73884346,Shannon Fleming,1937-02-03,"6266 Darrell Crest Michaelmouth, NE 08093",3190368900,True,2021-02-11 18:17:50,9385.36,2024-10-08 03:42:09,none
SYN_AAD_001199,ACC87825515,Douglas Edwards,1967-11-15,Unit 2967 Box 1114 DPO AP 27483,5374584384,True,2021-07-10 00:49:33,26334.91,2024-09-09 21:55:06,none
SYN_AAD_011697,ACC7416148,Jason Sampson,2000-10-20,"83483 Nathan Via North Tiffany, UT 58209",1070449641,False,2023-11-25 14:11:14,3392.5,2025-02-28 07:41:29,none
SYN_AAD_010876,ACC37670512,James Wallace,1965-03-06,"680 Johnson Track Sharonmouth, MP 34911",0596601864,True,2025-07-03 18:09:57,1196.78,2025-05-26 06:14:35,none
SYN_AAD_012059,ACC59646621,Kelly Martin,1986-07-11,"04413 Morgan Locks New Joshuaview, TN 33336",1495427707,False,2023-09-08 06:11:57,18381.64,2025-02-22 10:29:13,none
SYN_AAD_018417,ACC52894582,Mary Daniels,1945-06-16,"72444 Martinez Roads Apt. 290 North Diamond, HI 90212",9508304405,True,2022-08-18 22:05:29,415.99,2025-01-02 18:20:29,duplicate_aadhaar_diff_name
SYN_AAD_004674,ACC67599269,James Simmons,1945-03-04,"561 Liu Divide Apt. 595 Theresastad, NJ 39044",2504290193,True,2025-07-31 08:36:03,35728.59,2025-05-23 18:46:39,duplicate_aadhaar_diff_name
SYN_AAD_012037,ACC70696025,Daniel Rivas,1939-01-25,"1139 Ryan Crossing New Thomashaven, NC 58306",4394353537,True,2024-06-02 07:59:16,4013.58,2025-05-31 12:48:01,none
SYN_AAD_000510,ACC98587203,Jennifer Miller,2003-06-13,"793 Hartman Forks Apt. 836 New Jorge, LA 45271",1166829732,True,2021-08-30 00:29:38,7255.07,2025-01-29 12:29:54,none
SYN_AAD_012585,ACC81859912,Justin Conrad,1948-05-17,"0212 Strong Knoll South Heidi, IA 93822",1559991015,False,2024-05-04 09:14:13,11310.74,2024-12-10 07:00:49,none
SYN_AAD_005913,ACC74212334,Melissa Quinn,2003-12-16,"957 Flores Fall Shirleyville, IN 39475",5098898645,True,2021-11-07 15:20:04,18927.42,2024-09-05 05:28:55,none
SYN_AAD_003361,ACC11746667,Morgan Hays,1963-04-21,"951 Mitchell Crest Suite 477 East Keith, PW 34504",3421388209,True,2022-04-17 23:58:16,6910.31,2024-08-22 12:44:53,none
SYN_AAD_009687,ACC42137177,Rodney Wood IV,1992-09-04,"4117 Snyder Corners West Jessica, DE 46863",3152854781,True,2021-06-27 19:05:04,12178.69,2025-08-17 00:55:28,none
SYN_AAD_005788,ACC23366682,Kelly Lee,1939-06-25,USS Sanchez FPO AP 49811,3472727423,True,2020-08-29 16:15:49,4454.72,2025-02-04 14:46:10,none
SYN_AAD_011519,ACC61012727,Justin Clark,1958-11-15,"693 Washington Shoals Apt. 434 Henryfurt, PA 47310",4131467536,True,2023-05-07 13:10:35,17950.09,2025-05-03 11:58:59,none
SYN_AAD_011552,ACC83523968,Michael Bush,2000-06-19,"630 Adams Forge Suite 085 Emilychester, MO 58428",6404735047,False,2022-01-19 03:35:07,18706.66,2025-03-16 02:37:45,none
SYN_AAD_008996,ACC86828117,Mario Gould,1979-07-02,"061 Barr Trafficway Lake Brandonborough, MN 70686",2863425563,False,2020-12-09 19:46:10,1345.28,2025-07-14 07:05:17,none
SYN_AAD_001879,ACC11071854,Todd Garcia,1988-10-15,"44033 Joseph Crossing Riosberg, GU 97563",1118600892,True,2022-04-15 08:41:44,67412.61,2025-07-08 20:30:11,none
SYN_AAD_013310,ACC49762794,Emily Morris,2004-05-12,"7314 Bennett Meadow Apt. 368 Timothyside, NY 32563",0765817390,True,2023-10-12 17:43:27,7265.76,2025-02-21 02:46:55,none
SYN_AAD_005242,ACC5179623,Maria Cook,1946-01-05,"79312 Jensen Mountains North Katrina, KS 54484",5205996043,True,2024-11-19 14:46:03,23055.02,2024-12-19 12:08:49,none
SYN_AAD_019908,ACC92011547,Cynthia Murray,2000-05-13,"61620 April Crossing East Samuel, DE 05620",7287286604,False,2022-12-10 01:04:30,2603.04,2025-03-10 20:29:33,none
SYN_AAD_001140,ACC17942307,Steve Elliott,1957-03-20,"589 Kennedy Fords Saraberg, GA 69232",0562271043,True,2024-07-14 13:02:27,699.87,2024-12-26 12:05:45,none
SYN_AAD_012003,ACC49607028,Mario Wheeler,1943-09-20,"0344 Silva Inlet Claudiafurt, KS 74047",1921342491,True,2023-11-22 12:23:13,5989.16,2024-12-26 03:56:27,none
SYN_AAD_018587,ACC5346684,Sarah Jacobs,1999-01-23,"31922 Thomas Alley Christianton, DC 67571",6754813866,True,2023-04-15 08:28:18,7470.93,2025-07-11 15:24:15,none
SYN_AAD_014743,ACC50790013,Kerry Ware,1963-09-28,USNV Dawson FPO AA 73965,7418652057,True,2025-05-24 23:05:32,15824.48,2025-07-26 06:17:05,none
SYN_AAD_002519,ACC78030477,Dr. Janet White PhD,1936-01-31,"309 Murphy Land Suite 809 Arthurview, SD 63249",0440907977,True,2021-07-08 12:13:21,69856.14,2024-09-03 18:36:54,none
SYN_AAD_012024,ACC54423225,Louis Reeves,1958-09-16,"61070 Davis Plains Tonyaborough, SD 80979",5529580660,True,2021-11-21 01:15:42,56101.89,2025-05-30 00:59:50,none
SYN_AAD_009859,ACC34502308,Amanda Garcia,1961-09-02,"04485 Matthew Port Apt. 971 North Ianland, HI 42116",2035713432,False,2023-01-28 15:48:16,18221.09,2024-10-28 01:44:34,duplicate_aadhaar_diff_name
SYN_AAD_000849,ACC99740608,Karl Gutierrez,1960-04-01,"44741 Kelly Lakes Kelseyhaven, NV 83210",0962893654,True,2025-04-29 12:56:15,1853.11,2025-07-08 05:27:33,none
SYN_AAD_016965,ACC52940566,Debra Palmer,1963-04-24,"0182 Taylor Radial Suite 596 West Jacquelinestad, VI 01536",6755125427,False,2024-05-14 16:41:13,925.64,2025-06-30 05:06:52,none
SYN_AAD_003858,ACC36135070,Linda Neal,1988-12-23,"5957 Evans Wells Port Sarah, NY 14637",6496902824,False,2025-06-19 10:06:00,9842.61,2025-06-07 22:22:32,none
SYN_AAD_014623,ACC29799154,Matthew Kramer,1941-12-14,Unit 4257 Box 6270 DPO AP 19832,2441233613,False,2020-09-04 02:32:04,35291.16,2025-02-21 07:47:39,none
SYN_AAD_009357,ACC94144504,Brett Pierce,1988-04-05,"673 Paul Island Apt. 654 Carlsonside, CA 45965",9039235558,False,2024-01-08 20:20:02,6596.06,2025-08-10 03:11:03,none
SYN_AAD_016095,ACC27867482,David Porter,1940-08-26,"56262 Collins Spring Suite 046 East Raymond, NC 14451",1516025298,True,2024-10-08 03:00:16,3037.96,2025-04-30 20:38:35,none
SYN_AAD_002426,ACC61672142,Jennifer Wise,1975-11-11,"785 Joseph Vista Danielburgh, NE 70193",1205943897,True,2023-01-11 23:56:25,1549.52,2024-09-04 10:00:07,none
SYN_AAD_014585,ACC12783073,John Richardson,1984-11-21,"408 White Knolls Suite 075 Cynthiaville, MI 96433",8632181227,False,2024-07-12 19:04:56,29589.68,2025-05-14 12:29:43,none
SYN_AAD_010472,ACC90635939,Tamara Berger,2005-11-20,"55029 Patrick Stream West Saraport, NE 53026",2416139449,True,2021-01-18 10:56:41,110.75,2025-01-12 06:45:39,none
SYN_AAD_004849,ACC74819367,Daniel Dillon,1972-01-11,"8096 Erika Groves South Jamiechester, TN 17509",4795133053,True,2024-07-20 21:56:32,24541.92,2025-04-05 06:22:55,duplicate_aadhaar_diff_name
SYN_AAD_004803,ACC22139996,Elizabeth Allen,1999-05-12,USS Cooper FPO AA 45899,2773826460,False,2025-05-29 17:18:18,29504.29,2025-01-01 01:02:48,duplicate_aadhaar_diff_name
SYN_AAD_002556,ACC49518659,Paul Moreno,1976-01-04,"7029 Claudia Port Suite 604 Fritzfurt, PW 70964",6911633194,True,2025-04-24 18:02:36,8877.85,2025-01-25 14:16:18,none
SYN_AAD_003976,ACC27975128,Daniel Lester,1972-08-02,"158 Perez Lodge Suite 747 Port Gregory, LA 00938",7216966630,False,2024-11-30 15:09:37,39770.59,2024-09-20 04:59:36,none
SYN_AAD_007757,ACC67306502,Monique Dougherty,1978-11-12,"715 Julia Turnpike Arnoldborough, PR 21653",5327352410,True,2024-07-16 09:43:52,8036.38,2024-11-23 02:37:41,none
SYN_AAD_018154,ACC77809773,Jill Allen,1958-09-14,Unit 8195 Box 2371 DPO AE 98622,6876164819,True,2024-09-21 13:26:07,7449.77,2025-07-07 09:50:59,none
SYN_AAD_018076,ACC18417599,Eileen Ross,1940-01-23,"1124 Jennifer Lakes Suite 523 Clarkville, MA 84653",7734547574,True,2020-12-08 19:08:18,26157.52,2025-06-11 14:40:02,none
SYN_AAD_016916,ACC9824561,Steven Smith,1985-02-07,"2947 Nunez Drives Apt. 294 Scottbury, AK 28243",2904588679,True,2025-08-17 21:48:55,43645.04,2025-07-17 01:31:50,duplicate_aadhaar_diff_name
SYN_AAD_015684,ACC71557676,Kelly Gray,2000-09-02,"76015 Kyle Fork Apt. 491 West Victor, OK 84208",8335061581,True,2025-03-17 09:48:42,2547.45,2025-07-24 19:59:31,none
SYN_AAD_014316,ACC78161840,Eric Greene,2005-10-20,"233 Thompson Rest Suite 841 Lake Mariah, CA 17874",0333997718,True,2022-04-22 00:23:47,28607.86,2025-02-21 16:41:42,duplicate_aadhaar_diff_name
SYN_AAD_010388,ACC87213226,Bradley Gonzalez,1963-11-22,"096 Jennifer Mills Apt. 997 West Karenview, NM 83224",5878444835,True,2023-04-06 03:55:17,29477.8,2025-04-20 00:38:17,none
SYN_AAD_015264,ACC92282683,William Bautista,2000-12-27,"2216 Davis Wall Suite 582 Port Daniel, IN 28447",8458714939,True,2022-04-07 23:13:45,14793.58,2025-06-13 13:57:58,none
SYN_AAD_004205,ACC74994695,Christopher Moore,1956-01-07,"964 Sarah Mountains Suite 524 Jessicamouth, NV 40873",9660606527,True,2022-05-29 20:50:32,514.96,2025-05-04 01:25:16,none
SYN_AAD_005962,ACC18318510,Elizabeth Brooks,1978-06-08,"8833 Gates Coves Apt. 325 Davidshire, NJ 06530",7349960105,True,2024-05-11 22:44:44,638.67,2025-08-13 15:15:27,none
SYN_AAD_012818,ACC17664623,John Gilmore,1944-09-13,"29493 Samuel Islands Suite 884 East Kelseyland, VI 92153",5732573755,True,2020-10-30 15:08:33,7547.93,2024-10-13 10:02:08,none
SYN_AAD_009965,ACC23099899,Jason Foster,2000-10-27,"509 Forbes Parkways Kristyfort, LA 75843",1191818281,True,2022-04-04 19:25:31,47625.31,2025-06-07 22:54:34,none
